fips,Adult smoking percentage,Adult obesity percentage,Excessive drinking percentage
13247,18,42,14
13249,18,27,15
13251,20,30,13
13253,18,31,13
13255,19,39,14
13257,17,37,16
13259,24,32,14
13261,21,37,13
13263,18,37,12
13265,21,36,11
13267,20,43,15
13269,22,39,13
13271,21,25,14
13273,21,33,12
13275,18,33,14
13277,19,36,15
13279,19,48,14
13281,14,26,15
13283,18,36,15
13285,18,40,15
13287,19,39,14
13289,20,36,13
13291,14,27,15
13293,18,27,14
13295,17,37,15
13297,17,28,16
13299,19,36,15
13301,20,58,11
13303,20,36,14
13305,19,41,15
13307,17,26,13
13309,24,32,15
13311,16,29,17
13313,18,35,15
13315,20,41,15
13317,19,30,13
13319,18,35,13
13321,18,51,14
15001,14,26,19
15003,11,23,20
15005,12,18,16
15007,13,22,22
15009,12,24,21
16001,12,26,18
16003,14,31,14
16005,14,32,16
16007,13,26,15
16009,15,32,15
16011,14,31,14
16013,13,15,17
16015,13,31,15
16017,14,26,15
16019,14,29,15
16021,15,29,14
16023,13,29,15
16025,15,25,14
16027,14,35,15
16029,13,30,16
16031,14,38,16
16033,17,28,13
16035,13,32,16
16037,14,28,15
16039,16,35,17
16041,13,34,16
16043,14,30,16
16045,14,38,14
16047,15,34,16
16049,14,32,15
16051,13,32,16
16053,15,32,15
16055,14,26,20
16057,14,24,21
16059,15,24,13
16061,15,28,14
16063,15,29,16
16065,15,27,16
16067,14,34,15
16069,15,31,20
16071,13,29,16
16073,16,39,14
16075,15,35,15
16077,15,36,16
16079,15,35,16
16081,13,21,19
16083,14,33,14
16085,12,28,17
16087,15,35,14
17001,15,37,20
17003,22,26,15
17005,17,26,20
17007,15,33,20
17009,17,23,23
17011,15,27,20
17013,15,36,20
17015,14,25,19
17017,16,35,20
17019,16,31,21
17021,16,29,20
17023,16,37,20
17025,16,24,20
17027,15,39,23
17029,19,37,20
17031,14,28,22
17033,16,28,21
17035,16,33,20
17037,16,32,23
17039,15,28,20
17041,16,31,20
17043,12,27,20
17045,15,31,19
17047,15,30,20
17049,15,27,23
17051,17,24,20
17053,16,25,20
17055,18,27,19
17057,17,29,19
17059,17,23,18
17061,17,28,20
17063,15,35,22
17065,16,25,19
17067,15,31,19
17069,18,25,18
17071,14,27,19
17073,15,37,20
17075,16,29,18
17077,19,24,19
17079,15,25,20
17081,17,33,19
17083,15,34,21
17085,13,29,19
17087,17,25,20
17089,13,29,21
17091,16,41,20
17093,14,31,23
17095,18,29,18
17097,14,25,20
17099,16,28,21
17101,18,23,21
17103,16,37,20
17105,16,34,20
17107,15,36,21
17109,17,35,21
17111,14,33,22
17113,15,34,22
17115,16,32,18
17117,16,28,20
17119,16,37,21
17121,17,30,19
17123,14,27,20
17125,16,30,19
17127,16,33,18
17129,15,30,21
17131,15,33,20
17133,13,36,22
17135,16,31,20
17137,16,32,20
17139,16,25,20
17141,15,37,20
17143,17,36,19
17145,16,32,21
17147,13,25,21
17149,17,30,19
17151,15,27,19
17153,19,35,16
17155,14,26,20
17157,17,27,20
17159,17,28,19
17161,17,34,20
17163,18,37,20
17165,19,27,18
17167,17,31,20
17169,16,26,19
17171,16,28,19
17173,16,32,19
17175,16,26,19
17177,16,34,18
17179,15,33,21
17181,17,37,19
17183,18,41,19
17185,16,35,20
17187,15,26,20
17189,15,28,21
17191,16,31,19
17193,16,29,19
17195,15,34,20
17197,13,32,21
17199,16,27,20
17201,17,33,20
17203,14,27,22
18001,20,35,16
18003,20,32,18
18005,19,32,17
18007,21,33,16
18009,20,34,16
18011,16,28,18
18013,19,31,17
18015,18,37,17
18017,21,32,16
18019,22,37,18
18021,20,36,17
18023,20,38,16
18025,23,30,15
18027,20,37,17
18029,20,34,18
18031,18,34,18
18033,20,30,18
18035,21,34,15
18037,17,30,19
18039,20,34,17
18041,23,37,15
18043,22,35,18
18045,21,32,17
18047,19,37,17
18049,20,38,16
18051,19,29,17
18053,22,37,15
18055,21,38,17
18057,13,26,20
18059,17,38,18
18061,20,38,17
18063,16,32,19
18065,21,30,16
18067,21,35,14
18069,19,37,18
18071,22,31,16
18073,19,36,17
18075,22,35,16
18077,23,35,18
18079,22,40,17
18081,18,31,19
18083,20,34,17
18085,19,34,18
18087,19,37,18
18089,19,36,17
18091,23,37,19
18093,19,32,17
18095,22,39,16
18097,19,33,18
18099,21,41,17
18101,20,43,17
18103,24,37,17
18105,20,25,19
18107,20,25,18
18109,19,36,17
18111,21,31,16
18113,19,38,17
18115,17,36,18
18117,21,36,17
18119,20,32,17
18121,22,30,16
18123,21,36,16
18125,20,38,17
18127,19,34,19
18129,19,31,18
18131,19,31,17
18133,19,31,18
18135,21,36,15
18137,18,32,18
18139,21,30,16
18141,19,33,20
18143,21,33,17
18145,21,37,16
18147,18,35,18
18149,23,33,17
18151,19,30,18
18153,21,31,17
18155,24,34,16
18157,19,33,20
18159,19,35,17
18161,20,25,16
18163,21,34,19
18165,19,41,17
18167,22,35,18
18169,20,35,16
18171,19,34,18
18173,18,35,18
18175,21,41,16
18177,21,38,15
18179,19,34,16
18181,18,29,17
18183,19,37,17
19001,16,32,20
19003,16,30,20
19005,16,35,19
19007,17,37,18
19009,16,30,19
19011,15,36,22
19013,18,31,24
19015,16,36,21
19017,14,33,22
19019,16,33,21
19021,15,34,19
19023,15,33,21
19025,17,36,20
19027,15,34,21
19029,17,34,18
19031,14,35,22
19033,16,30,22
19035,17,35,19
19037,16,30,21
19039,17,37,20
19041,16,35,21
19043,15,36,20
19045,17,33,20
19047,17,33,18
19049,13,29,23
19051,17,26,19
19053,18,40,19
19055,16,33,22
19057,19,37,19
19059,15,28,20
19061,16,34,24
19063,18,40,19
19065,16,34,21
19067,16,41,19
19069,17,45,19
19071,16,33,19
19073,15,41,20
19075,14,31,21
19077,15,34,21
19079,15,33,20
19081,14,34,21
19083,15,42,19
19085,16,40,20
19087,17,35,20
19089,16,32,20
19091,16,30,20
19093,16,30,20
19095,15,32,21
19097,15,31,20
19099,15,36,21
19101,15,28,19
19103,15,26,25
19105,15,38,22
19107,15,37,21
19109,15,36,20
19111,18,40,21
19113,16,34,21
19115,16,37,20
19117,15,32,20
19119,14,39,21
19121,15,37,22
19123,17,33,20
19125,15,34,21
19127,15,35,20
19129,14,33,21
19131,15,32,21
19133,17,38,18
19135,18,34,20
19137,17,26,19
19139,15,37,22
19141,15,29,21
19143,16,32,19
19145,17,44,19
19147,14,32,20
19149,15,32,21
19151,16,38,19
19153,15,32,21
19155,17,41,22
19157,15,31,21
19159,15,33,19
19161,15,31,21
19163,17,33,21
19165,15,35,19
19167,14,29,23
19169,15,26,23
19171,17,35,20
19173,16,32,19
19175,16,41,20
19177,16,33,20
19179,20,32,19
19181,14,34,22
19183,15,34,20
19185,17,39,18
19187,17,38,20
19189,15,40,21
19191,14,33,24
19193,19,35,19
19195,15,33,21
19197,16,37,18
20001,19,38,16
20003,17,35,16
20005,17,43,18
20007,17,28,16
20009,17,39,17
20011,19,35,15
20013,17,37,17
20015,16,35,19
20017,15,35,16
20019,17,32,15
20021,19,42,16
20023,16,32,15
20025,16,32,16
20027,14,29,16
20029,18,40,17
20031,15,38,17
20033,14,27,16
20035,16,39,16
20037,19,34,19
20039,16,32,15
20041,18,36,17
20043,16,38,17
20045,17,28,24
20047,15,38,16
20049,16,33,14
20051,16,30,20
20053,15,37,19
20055,17,36,16
20057,17,31,16
20059,18,33,18
20061,22,39,19
20063,14,29,16
20065,15,30,15
20067,15,32,17
20069,15,31,19
20071,16,28,16
20073,17,36,16
20075,17,39,17
20077,17,36,16
