,deaths
705,0.21730469740320887
668,0.36252462146387443
1343,0.28723709826700283
261,0.13935340022296544
2882,0.0
1954,0.0
2937,0.049060491586125694
2646,0.0
1354,0.027472376525403706
2481,0.0
854,0.0
2919,0.040563164221814135
2817,0.0
1395,0.07900454276120877
751,0.1210214207914801
924,0.0
2110,0.033146607444728034
1130,0.3526981407769436
2780,0.0
2565,0.0
1732,0.0
855,0.0
399,0.1208500940904304
2846,0.1460300085531862
1705,0.04956936613173059
2807,0.04220449633376204
2422,0.0
1353,0.05304195618734419
280,0.0
2702,0.0
2564,0.13679142044210987
2579,0.0
673,0.09936900680677696
338,0.0
2347,0.06979341150195421
2293,0.0
1017,0.0
1931,0.022783195115282966
758,0.0
1959,0.0
2672,0.02806544862619629
2851,0.032828863136469585
790,0.0
1302,0.09122422915526364
2652,0.0
1125,0.0
2685,0.0361755236407047
1249,0.05301664722722935
938,0.04734400151500805
60,0.025053865811494713
703,0.0
2586,0.34560221185415585
2969,0.0
2431,0.019876764062810574
2384,0.010245376773730854
1034,0.22445429549408003
1227,0.11964982484595085
234,0.8488540470365007
962,0.0
2854,0.2664588022875687
834,0.0
2765,0.0
523,0.0333667000333667
1977,0.2826032748732441
308,0.20000216218553715
1038,0.0
1574,0.0
1656,0.7499750544778017
2545,0.0
745,0.06610259122157588
2845,0.0
187,0.0
704,0.0
1433,0.012697928967785354
256,0.01775883502042266
2978,0.0
2931,0.0
1816,0.10133560325084615
1057,1.5028554253080855
836,0.0
831,0.13341433978374562
31,0.4858496295396575
2796,0.2069108214359611
2441,0.11661931215809337
569,0.06013229104028864
686,0.17355838070030807
1185,0.03871991946256752
2105,0.4277682718161819
1984,0.0
1621,0.12322737422181913
275,0.0
2923,0.0
614,0.04569130951293064
2929,0.0
232,0.17480480130520917
2244,0.0678453668398985
1097,1.0457764890431145
650,0.24515530971925886
2245,0.06887052341597796
2950,0.010674352200250847
2010,0.04008176680428073
2099,0.26468619116570913
2359,0.0
2649,0.0
2434,0.0
374,0.0
