,Active.Physicians.per.100.000.Population..2018..AAMC.,Total.Active.Patient.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.Primary.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.Patient.Care.Primary.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.General.Surgeons.per.100.000.Population..2018..AAMC.,Active.Patient.Care.General.Surgeons.per.100.000.Population..2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.Female..2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.International.Medical.Graduates..IMGs...2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.Age.60.or.Older..2018..AAMC.,MD.and.DO.Student.Enrollment.per.100.000.Population..AY.2018.2019..AAMC.,Student.Enrollment.at.Public.MD.and.DO.Schools.per.100.000.Population..AY.2018.2019..AAMC.,Percentage.Change.in.Student.Enrollment.at.MD.and.DO.Schools..2008.2018..AAMC.,Percentage.of.MD.Students.Matriculating.In.State..AY.2018.2019..AAMC.,Total.Residents.Fellows.in.ACGME.Programs.per.100.000.Population.as.of.December.31..2018..AAMC.,Total.Residents.Fellows.in.Primary.Care.ACGME.Programs.per.100.000.Population.as.of.Dec..31..2018..AAMC.,Percentage.of.Residents.in.ACGME.Programs.Who.Are.IMGs.as.of.December.31..2018..AAMC.,Ratio.of.Residents.and.Fellows..GME..to.Medical.Students..UME...AY.2017.2018..AAMC.,Percent.Change.in.Residents.and.Fellows.in.ACGME.Accredited.Programs..2008.2018..AAMC.,Percentage.of.Physicians.Retained.in.State.from.Undergraduate.Medical.Education..UME...2018..AAMC.,All.Specialties..AAMC.,State.Local.Government.hospital.beds.per.1000.people..2019.,Non.profit.hospital.beds.per.1000.people..2019.,For.profit.hospital.beds.per.1000.people..2019.,Total.hospital.beds.per.1000.people..2019.,Total.nurse.practitioners..2019.,Total.physician.assistants..2019.,Total.Hospitals..2019.,Total.Primary.Care.Physicians..2019.,Surgery.specialists..2019.,Emergency.Medicine.specialists..2019.,Total.Specialist.Physicians..2019.,ICU.Beds,Length.of.Life.rank,Quality.of.Life.rank,Health.Behaviors.rank,Clinical.Care.rank,Social...Economic.Factors.rank,Physical.Environment.rank,Adult.smoking.percentage,Adult.obesity.percentage,Excessive.drinking.percentage,Population.per.sq.mile,House.per.sq.mile,Share.of.Tests.with.Positive.COVID.19.Results,Number.of.Tests.with.Results.per.1.000.Population
2987,207.9,199.6,79.8,76.2,10.6,10.4,26.0,13.4,33.6,39.443566111307916,23.496392711045306,44.53799567411594,69.85761183261238,7.3,7.3,35.7,0.9911733427862293,5.0,40.9897776183638,2.078800561387259,2.6,0.5,0.4,3.5,0.4950349380467223,0.2786735140475456,0.05019585036533909,1.086999794175157,0.11596972326849851,0.12808596300298444,0.9416049171555008,0.0,6.0,6.0,5.0,10.0,4.0,19.0,15.0,27.0,18.0,4.4,2.2,0.044824,26.0
1497,273.1,236.3,86.6,79.0,7.0,6.3,34.2,20.9,30.2,71.3,15.0,14.8,67.4,49.4,15.7,19.5,0.7,17.8,21.3,2.7311076624568456,0.4,2.2,0.4,3.1,0.5577453310317704,0.10854569658698596,0.019913646593541057,1.5359624135821353,0.1819976717213652,0.17824345968622993,1.773457133243019,0.0,75.0,20.0,63.0,72.0,55.0,51.0,20.0,35.0,19.0,41.3,17.6,0.081697,20.2
26,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.1714975702079022,1.4,0.8,0.9,3.1,0.5190398846195712,0.10945460713508218,0.020663393109829106,1.199499741210406,0.1542593902253184,0.09513344358876673,1.2974974175465332,0.38097311418308477,54.0,44.0,55.0,62.0,53.0,21.0,22.0,39.0,13.0,40.5,17.4,0.07785299999999999,27.8
2858,263.4,231.6,100.1,89.4,10.5,9.2,29.7,27.5,33.5,89.2,89.2,13.8,88.9,51.8,23.0,30.2,0.6,44.1,30.4,2.6342428312868194,0.4,2.8,0.7,3.8,0.5216432093122294,0.36991259429342044,0.03101063666690326,1.5959402647455463,0.179972444815104,0.20378418368940307,1.5521931166157996,0.0,36.0,33.0,22.0,31.0,46.0,5.0,23.0,34.0,12.0,28.4,14.5,0.020966,37.2
1592,239.2,214.5,88.2,80.3,6.8,6.2,32.9,14.8,28.8,61.7,28.1,18.9,87.0,42.2,17.2,29.4,0.7,23.1,27.1,2.391580640822785,0.5,2.9,0.1,3.6,0.541656213551085,0.42606833267405064,0.048204811369801086,1.4938308208069622,0.1689760053966998,0.11092289924276673,1.4228194320750454,0.6781193490054249,73.0,63.0,57.0,13.0,33.0,47.0,15.0,34.0,20.0,60.9,26.2,0.174801,25.7
1740,375.1,304.1,112.9,94.8,10.2,7.4,38.9,37.0,34.8,58.2,15.6,33.4,67.0,88.8,33.1,37.6,1.6,9.0,35.9,3.7507530493523897,0.5,2.2,0.4802056555269882,2.7,0.6453211098704779,0.4550662619472978,0.008494433787405093,2.077144912349263,0.21967833832067887,0.23334107213041538,2.5026853411121035,0.0,44.0,22.0,33.0,46.0,47.0,35.0,16.0,32.0,20.0,55.9,28.8,0.27060100000000004,64.7
2629,224.8,199.9,72.9,66.5,6.2,5.4,35.2,25.9,27.9,28.3,24.3,55.2,84.9,29.9,10.1,20.8,1.1,23.1,59.7,2.248392045972428,0.3,1.0,1.0,2.3,0.34492556141050473,0.20357576315939385,0.018221825111085794,1.0697570137860315,0.12114203808248834,0.11354670753104706,1.1810390586191182,0.14241768257946907,45.0,88.0,84.0,19.0,90.0,112.0,15.0,30.0,18.0,55.8,25.7,0.072184,20.3
1653,306.5,271.0,97.7,87.5,7.6,6.7,36.8,38.2,36.6,30.5,29.8,43.2,45.1,37.7,17.4,47.9,1.4,21.3,33.5,3.0650433519893516,0.45268662098809886,2.1,0.3,2.4,0.6192947874336481,0.20901339392530108,0.009204671480347034,1.665147521529259,0.16512282622640598,0.1720824558590054,1.7587657656718574,0.09622015170710586,3.0,1.0,4.0,3.0,1.0,15.0,13.0,20.0,22.0,300.0,115.7,0.320671,49.7
2330,240.4,219.1,92.8,84.8,9.2,8.6,31.8,16.0,29.9,31.3,31.3,31.4,85.1,17.1,10.1,25.2,0.6,55.7,41.5,2.4041213508388037,0.2,4.3,0.2,4.8,0.536138330415755,0.45792787636761495,0.06460863603209337,1.2275640842450766,0.13941863566739604,0.06574212071480671,1.0858784792122538,0.0,51.0,59.0,56.0,53.0,57.0,4.0,32.0,52.0,15.0,1.4,0.5,0.144405,29.2
2095,320.5,273.3,100.8,88.2,8.7,7.2,35.6,23.5,33.3,64.0,23.496392711045306,17.8,63.0,69.7,25.1,22.3,1.2,22.1,31.3,3.2045606093649264,0.0,2.5,0.3,2.9,0.5468077764070074,0.44264647776566196,0.015538304653809724,1.8975471342497154,0.2340896349063587,0.24697315387737886,2.090019099165068,0.14326761594727752,10.0,3.0,2.0,6.0,5.0,54.0,14.0,27.0,18.0,1034.7,407.0,0.10913384179970963,23.7
