fips,Population per sq mile,House per sq mile
21201,22.8,11
21203,53.9,24.3
21205,83.4,36.1
21207,69.2,39.4
21209,167.4,68.5
21211,110.8,43.7
21213,74,31.7
21215,91.4,35.9
21217,92,40.8
21219,33.3,14.1
21221,32.5,17.7
21223,58.1,25.9
21225,43.8,17.9
21227,210.1,87.2
21229,39.4,17
21231,45.4,23.9
21233,41,17.9
21235,81.4,34.6
21237,33.1,16.5
21239,132.1,56.7
22001,94.3,38.8
22003,33.8,12.8
22005,369.7,140.6
22007,69.2,30.6
22009,50.5,21.7
22011,30.8,13
22013,17.7,9.5
22015,139.3,58.7
22017,290.2,127.5
22019,181.2,77.1
22021,19.1,9.4
22023,5.3,2.8
22025,14.7,6.9
22027,22.8,10.3
22029,29.9,13.5
22031,30.4,14
22033,966.6,411.4
22035,18.4,6.9
22037,44.7,17.7
22039,51.3,22.1
22041,33.2,14.5
22043,34.7,13.8
22045,127.6,51.7
22047,54,20.5
22049,28.6,13.5
22051,1463.1,639.8
22053,48.5,20.4
22055,824.6,348.5
22057,90.2,36.1
22059,23.8,10.5
22061,99.1,41.3
22063,197.5,77.4
22065,19.4,7.7
22067,35.2,15.6
22069,31.6,14.8
22071,2029.4,1120.8
22073,251.8,105.6
22075,29.5,12.3
22077,40.9,20
22079,99.9,42.3
22081,23.4,10.6
22083,37.1,15.4
22085,28,16.3
22087,95.1,44.5
22089,189.1,71.3
22091,27.4,12.6
22093,91.5,35
22095,215.5,82.2
22097,90.3,38.6
22099,70.7,29.7
22101,98.4,41.5
22103,276.4,112.8
22105,153,63.3
22107,8.7,5.6
22109,90.8,35.6
22111,25.9,12.9
22113,49.4,21.5
22115,39.4,16.1
22117,70.4,31.4
22119,69.5,32.6
22121,123.6,48.5
22123,32.3,14
22125,38.8,12.6
22127,16.1,7.6
23001,230.2,104.9
23003,10.8,5.9
23005,337.2,166
23007,18.1,12.8
23009,34.3,25.3
23011,140.8,70.3
23013,108.8,65
23015,75.6,51.5
23017,27.8,17.4
23019,45.3,21.7
23021,4.4,3.9
23023,139.1,72.1
23025,13.3,7.8
23027,53.1,29.5
23029,12.8,9
23031,199,106.8
24001,177,78.5
24003,1295.9,512.3
24005,1345.5,561
24009,416.3,158.5
24011,103.5,42.2
24013,373.4,139.4
24015,292,118.7
24017,320.2,120.1
24019,60.3,30.6
24021,353.5,136.5
24023,46.5,29.1
24025,560.1,218.6
24027,1144.9,435.8
24029,72.9,38.1
24031,1978.2,765.2
24033,1788.8,679.9
24035,128.5,54.2
24037,294.4,115.6
24039,82.8,34.8
24041,140.7,72.9
24043,322.1,132.8
24045,263.7,110
24047,109.9,119.1
24510,7671.5,3665.3
25001,548.3,407.1
25003,141.6,73.9
25005,991.3,416.8
25007,160.2,166.5
25009,1508.8,622.8
25011,102.1,48.3
25013,751,311.4
25015,299.8,118.7
25017,1837.9,748.3
25019,226.2,258.4
25021,1693.6,682.5
25023,750.9,303.7
25025,12415.6,5425.6
25027,528.6,216.3
26001,16.2,16.4
26003,10.5,7.2
26005,135,59.9
26007,51.8,28.1
26009,49.6,37.5
26011,43.8,27
26013,9.9,5.9
26015,107,48.8
26017,243.7,109
26019,54.8,38.2
26021,276.2,135.5
26023,89.4,41.2
26025,192.8,86.4
26027,106.7,52.8
26029,62.3,41.4
26031,36.6,25.6
26033,24.7,13.6
26035,54.8,41.2
26037,133.1,54.2
26039,25.3,19.9
26041,31.7,17.3
26043,34.4,18.4
26045,187.4,81.8
26047,69.9,45.6
26049,668.5,301.7
26051,51.2,35.2
26053,14.9,9.8
26055,187.3,89.6
26057,74.7,28.7
26059,78.1,36.4
26061,36.3,18.5
26063,39.6,25.4
26065,505.1,218.1
26067,111.9,43.4
26069,47.1,37.2
26071,10.1,7.9
26073,122.8,49.6
26075,228.4,99
26077,445.7,195.9
26079,30.6,21.7
26081,711.5,291.5
