,county,state,cases,deaths,POP_ESTIMATE_2018,total_state_pop,Active.Physicians.per.100.000.Population..2018..AAMC.,Total.Active.Patient.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.Primary.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.Patient.Care.Primary.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.General.Surgeons.per.100.000.Population..2018..AAMC.,Active.Patient.Care.General.Surgeons.per.100.000.Population..2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.Female..2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.International.Medical.Graduates..IMGs...2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.Age.60.or.Older..2018..AAMC.,MD.and.DO.Student.Enrollment.per.100.000.Population..AY.2018.2019..AAMC.,Student.Enrollment.at.Public.MD.and.DO.Schools.per.100.000.Population..AY.2018.2019..AAMC.,Percentage.Change.in.Student.Enrollment.at.MD.and.DO.Schools..2008.2018..AAMC.,Percentage.of.MD.Students.Matriculating.In.State..AY.2018.2019..AAMC.,Total.Residents.Fellows.in.ACGME.Programs.per.100.000.Population.as.of.December.31..2018..AAMC.,Total.Residents.Fellows.in.Primary.Care.ACGME.Programs.per.100.000.Population.as.of.Dec..31..2018..AAMC.,Percentage.of.Residents.in.ACGME.Programs.Who.Are.IMGs.as.of.December.31..2018..AAMC.,Ratio.of.Residents.and.Fellows..GME..to.Medical.Students..UME...AY.2017.2018..AAMC.,Percent.Change.in.Residents.and.Fellows.in.ACGME.Accredited.Programs..2008.2018..AAMC.,Percentage.of.Physicians.Retained.in.State.from.Undergraduate.Medical.Education..UME...2018..AAMC.,All.Specialties..AAMC.,State.Local.Government.hospital.beds.per.1000.people..2019.,Non.profit.hospital.beds.per.1000.people..2019.,For.profit.hospital.beds.per.1000.people..2019.,Total.hospital.beds.per.1000.people..2019.,Total.nurse.practitioners..2019.,Total.physician.assistants..2019.,Total.Hospitals..2019.,Total.Primary.Care.Physicians..2019.,Surgery.specialists..2019.,Emergency.Medicine.specialists..2019.,Total.Specialist.Physicians..2019.,ICU.Beds,pop_fraction,Length.of.Life.rank,Quality.of.Life.rank,Health.Behaviors.rank,Clinical.Care.rank,Social...Economic.Factors.rank,Physical.Environment.rank,Adult.smoking.percentage,Adult.obesity.percentage,Excessive.drinking.percentage,Population.per.sq.mile,House.per.sq.mile,Share.of.Tests.with.Positive.COVID.19.Results,Number.of.Tests.with.Results.per.1.000.Population
2648,Davis,Utah,0.9780701879088917,0.005686454580865649,351713.0,6322210.0,216.2,199.9,65.3,62.2,5.8,5.4,24.6,9.3,26.5,16.6,16.6,21.5,43.5,26.0,8.8,6.1,1.6,20.2,43.8,2.1615859010045124,0.3,1.0,0.6,1.8,0.3818285061968139,0.2524433702763333,0.017082634079490948,0.9695976566120672,0.09996504385678094,0.13476300219212822,1.1692113990668527,0.06255100038952213,0.055631337999999995,5.0,5.0,7.0,3.0,2.0,26.0,9.0,26.0,11.0,1025.8,326.6,0.042223000000000004,48.9
2649,Duchesne,Utah,0.45081146062913247,0.0,19964.0,6322210.0,216.2,199.9,65.3,62.2,5.8,5.4,24.6,9.3,26.5,16.6,16.6,21.5,43.5,26.0,8.8,6.1,1.6,20.2,43.8,2.1615859011220193,0.3,1.0,0.6,1.8,0.38182850616109,0.25244337026647967,0.017082634091364457,0.9695976562813062,0.09996504387898217,0.134763002153877,1.169211399018233,0.2003606491685033,0.003157757,24.0,18.0,23.0,25.0,24.0,17.0,11.0,30.0,11.0,5.7,2.9,0.042223000000000004,48.9
2650,Emery,Utah,0.4993009786299181,0.0,10014.0,6322210.0,216.2,199.9,65.3,62.2,5.8,5.4,24.6,9.3,26.5,16.6,16.6,21.5,43.5,26.0,8.8,6.1,1.6,20.2,43.8,2.1615859007389657,0.3,1.0,0.6,1.8,0.38182850619133213,0.2524433702816058,0.017082634112242864,0.9695976564809267,0.09996504383862592,0.13476300219692433,1.1692113990413422,0.0,0.00158394,23.0,14.0,20.0,21.0,21.0,15.0,12.0,31.0,11.0,2.5,1.0,0.042223000000000004,48.9
2651,Garfield,Utah,0.5905511811023622,0.0,5080.0,6322210.0,216.2,199.9,65.3,62.2,5.8,5.4,24.6,9.3,26.5,16.6,16.6,21.5,43.5,26.0,8.8,6.1,1.6,20.2,43.8,2.1615859015748033,0.3,1.0,0.6,1.8,0.3818285061023622,0.25244337027559055,0.01708263405511811,0.969597656496063,0.0999650438976378,0.13476300216535433,1.1692113992125983,0.0,0.0008035160000000001,28.0,17.0,11.0,27.0,27.0,1.0,10.0,24.0,10.0,1.0,0.7,0.042223000000000004,48.9
2652,Grand,Utah,0.40966816878328555,0.0,9764.0,6322210.0,216.2,199.9,65.3,62.2,5.8,5.4,24.6,9.3,26.5,16.6,16.6,21.5,43.5,26.0,8.8,6.1,1.6,20.2,43.8,2.161585901269971,0.3,1.0,0.6,1.8,0.3818285061450225,0.25244337023760755,0.017082634063908236,0.9695976564932404,0.09996504383449406,0.1347630021507579,1.1692113990167963,0.0,0.001544397,25.0,20.0,14.0,6.0,25.0,13.0,11.0,24.0,11.0,2.5,1.3,0.042223000000000004,48.9
2653,Iron,Utah,0.5495026054002842,0.0,52775.0,6322210.0,216.2,199.9,65.3,62.2,5.8,5.4,24.6,9.3,26.5,16.6,16.6,21.5,43.5,26.0,8.8,6.1,1.6,20.2,43.8,2.16158590052108,0.3,1.0,0.6,1.8,0.38182850611084795,0.25244337034580766,0.0170826340881099,0.9695976564661297,0.0999650438654666,0.13476300217906206,1.1692113991473234,0.11369019422074846,0.008347555999999999,16.0,26.0,17.0,20.0,14.0,7.0,11.0,26.0,12.0,14.0,6.0,0.042223000000000004,48.9
2654,Juab,Utah,0.6923409779316313,0.0,11555.0,6322210.0,216.2,199.9,65.3,62.2,5.8,5.4,24.6,9.3,26.5,16.6,16.6,21.5,43.5,26.0,8.8,6.1,1.6,20.2,43.8,2.161585901341411,0.3,1.0,0.6,1.8,0.3818285061877974,0.25244337031588054,0.017082634097793162,0.9695976564257897,0.09996504387710947,0.13476300216356557,1.1692113993942015,0.0,0.001827684,21.0,13.0,15.0,22.0,9.0,8.0,10.0,29.0,12.0,3.0,1.0,0.042223000000000004,48.9
2655,Kane,Utah,0.389155532494487,0.0,7709.0,6322210.0,216.2,199.9,65.3,62.2,5.8,5.4,24.6,9.3,26.5,16.6,16.6,21.5,43.5,26.0,8.8,6.1,1.6,20.2,43.8,2.1615859008950578,0.3,1.0,0.6,1.8,0.3818285061616292,0.25244337021662994,0.01708263406408094,0.9695976565053833,0.09996504384485666,0.13476300220521467,1.169211399143858,0.0,0.001219352,12.0,6.0,8.0,16.0,10.0,6.0,9.0,23.0,10.0,1.8,1.5,0.042223000000000004,48.9
2656,Millard,Utah,0.4613255420575119,0.0,13006.0,6322210.0,216.2,199.9,65.3,62.2,5.8,5.4,24.6,9.3,26.5,16.6,16.6,21.5,43.5,26.0,8.8,6.1,1.6,20.2,43.8,2.161585901122559,0.3,1.0,0.6,1.8,0.3818285061510072,0.25244337029063507,0.01708263409195756,0.9695976564662464,0.09996504390281409,0.13476300215285253,1.1692113993541442,0.0,0.0020571920000000002,9.0,10.0,10.0,19.0,17.0,2.0,9.0,32.0,11.0,1.9,0.8,0.042223000000000004,48.9
2657,Morgan,Utah,0.8302200083022001,0.0,12045.0,6322210.0,216.2,199.9,65.3,62.2,5.8,5.4,24.6,9.3,26.5,16.6,16.6,21.5,43.5,26.0,8.8,6.1,1.6,20.2,43.8,2.1615859012038188,0.3,1.0,0.6,1.8,0.381828506185139,0.2524433702781237,0.01708263403902034,0.9695976562889166,0.09996504383561644,0.134763002158572,1.169211398920714,0.0,0.001905188,4.0,1.0,2.0,2.0,1.0,22.0,8.0,19.0,13.0,15.5,4.9,0.042223000000000004,48.9
