,county,state,cases,deaths,POP_ESTIMATE_2018,total_state_pop,Active.Physicians.per.100.000.Population..2018..AAMC.,Total.Active.Patient.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.Primary.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.Patient.Care.Primary.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.General.Surgeons.per.100.000.Population..2018..AAMC.,Active.Patient.Care.General.Surgeons.per.100.000.Population..2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.Female..2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.International.Medical.Graduates..IMGs...2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.Age.60.or.Older..2018..AAMC.,MD.and.DO.Student.Enrollment.per.100.000.Population..AY.2018.2019..AAMC.,Student.Enrollment.at.Public.MD.and.DO.Schools.per.100.000.Population..AY.2018.2019..AAMC.,Percentage.Change.in.Student.Enrollment.at.MD.and.DO.Schools..2008.2018..AAMC.,Percentage.of.MD.Students.Matriculating.In.State..AY.2018.2019..AAMC.,Total.Residents.Fellows.in.ACGME.Programs.per.100.000.Population.as.of.December.31..2018..AAMC.,Total.Residents.Fellows.in.Primary.Care.ACGME.Programs.per.100.000.Population.as.of.Dec..31..2018..AAMC.,Percentage.of.Residents.in.ACGME.Programs.Who.Are.IMGs.as.of.December.31..2018..AAMC.,Ratio.of.Residents.and.Fellows..GME..to.Medical.Students..UME...AY.2017.2018..AAMC.,Percent.Change.in.Residents.and.Fellows.in.ACGME.Accredited.Programs..2008.2018..AAMC.,Percentage.of.Physicians.Retained.in.State.from.Undergraduate.Medical.Education..UME...2018..AAMC.,All.Specialties..AAMC.,State.Local.Government.hospital.beds.per.1000.people..2019.,Non.profit.hospital.beds.per.1000.people..2019.,For.profit.hospital.beds.per.1000.people..2019.,Total.hospital.beds.per.1000.people..2019.,Total.nurse.practitioners..2019.,Total.physician.assistants..2019.,Total.Hospitals..2019.,Total.Primary.Care.Physicians..2019.,Surgery.specialists..2019.,Emergency.Medicine.specialists..2019.,Total.Specialist.Physicians..2019.,ICU.Beds,pop_fraction,Length.of.Life.rank,Quality.of.Life.rank,Health.Behaviors.rank,Clinical.Care.rank,Social...Economic.Factors.rank,Physical.Environment.rank,Adult.smoking.percentage,Adult.obesity.percentage,Excessive.drinking.percentage,Population.per.sq.mile,House.per.sq.mile,Share.of.Tests.with.Positive.COVID.19.Results,Number.of.Tests.with.Results.per.1.000.Population
1756,Alexander,North Carolina,0.3748025593660482,0.0,37353.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.55026666987926,0.6,1.3,0.1,2.1,0.45427317243594895,0.4085280470109496,0.01078621907209595,1.290494066607769,0.15302948298664096,0.1599634809519985,1.4425604942039463,0.0,0.00179865,51.0,22.0,45.0,85.0,25.0,51.0,17.0,35.0,17.0,143.1,62.3,0.075151,20.1
1757,Alleghany,North Carolina,0.8063793566884688,0.0,11161.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.5502666696532574,0.6,1.3,0.1,2.1,0.45427317256518235,0.40852804703879586,0.0107862190663919,1.290494066839889,0.15302948293163696,0.1599634809604874,1.4425604945793389,0.0,0.000537433,38.0,70.0,33.0,67.0,75.0,33.0,17.0,26.0,14.0,47.5,34.4,0.075151,20.1
1758,Anson,North Carolina,1.3667242834746955,0.0,24877.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.550266670016481,0.6,1.3,0.1,2.1,0.45427317240824855,0.4085280471921856,0.010786219077863087,1.2904940668086986,0.1530294829762431,0.15996348092615667,1.4425604944326085,0.0,0.0011978960000000002,94.0,94.0,93.0,84.0,85.0,99.0,20.0,39.0,14.0,50.7,21.8,0.075151,20.1
1759,Ashe,North Carolina,0.590209893393338,0.0,27109.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.5502666701095578,0.6,1.3,0.1,2.1,0.454273172378177,0.40852804714301527,0.010786219078534805,1.2904940665461655,0.1530294829761334,0.15996348094728688,1.4425604943007857,0.0,0.001305373,17.0,27.0,20.0,56.0,39.0,4.0,17.0,26.0,15.0,64.0,40.7,0.075151,20.1
1760,Beaufort,North Carolina,0.5310223241785085,0.0,47079.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.550266670914845,0.6,1.3,0.1,2.1,0.45427317253977356,0.4085280471123007,0.010786219057329172,1.2904940665689586,0.1530294829754243,0.15996348093629856,1.4425604942755794,0.1699271437371227,0.002266984,82.0,71.0,57.0,29.0,78.0,41.0,18.0,39.0,14.0,57.7,29.8,0.075151,20.1
1761,Bertie,North Carolina,3.7842951750236518,0.1576789656259855,19026.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.550266669820246,0.6,1.3,0.1,2.1,0.45427317255334804,0.4085280470408914,0.01078621906864291,1.2904940665405236,0.1530294829706717,0.15996348092084517,1.442560494060759,0.0,0.000916154,91.0,91.0,91.0,81.0,82.0,40.0,20.0,43.0,13.0,30.4,14.0,0.075151,20.1
1762,Bladen,North Carolina,1.8981620970171738,0.030129557095510694,33190.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.55026667008135,0.6,1.3,0.1,2.1,0.45427317264236217,0.40852804700210904,0.010786219072009643,1.2904940665863212,0.15302948297680025,0.1599634809581199,1.442560494426032,0.12051822838204278,0.00159819,92.0,82.0,82.0,99.0,89.0,83.0,19.0,44.0,14.0,40.2,20.3,0.075151,20.1
1763,Brunswick,North Carolina,0.36564675598198093,0.029251740478558476,136744.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.550266669835605,0.6,1.3,0.1,2.1,0.4542731725706429,0.4085280470806763,0.010786219066284445,1.290494066284444,0.15302948297548705,0.15996348095711693,1.4425604940618966,0.13894576727315275,0.006584601999999999,45.0,30.0,14.0,16.0,61.0,21.0,15.0,29.0,15.0,126.8,91.5,0.075151,20.1
1764,Buncombe,North Carolina,0.405244246496567,0.015437876057012077,259103.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.5502666700115397,0.6,1.3,0.1,2.1,0.45427317244493504,0.4085280471472734,0.01078621906346125,1.2904940664523377,0.15302948298553085,0.15996348093229332,1.4425604944751702,0.6406718563660012,0.012476526000000002,19.0,15.0,18.0,2.0,6.0,32.0,17.0,22.0,21.0,362.9,172.6,0.075151,20.1
1765,Burke,North Carolina,1.6374941913212808,0.14383394923768006,90382.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.5502666703547163,0.6,1.3,0.1,2.1,0.4542731725343542,0.40852804706689383,0.01078621905910469,1.2904940662963864,0.15302948297227326,0.15996348089221304,1.4425604943462191,0.1770263990617601,0.004352143,69.0,35.0,50.0,31.0,37.0,44.0,17.0,36.0,16.0,179.3,80.6,0.075151,20.1
1766,Cabarrus,North Carolina,1.7081318431736239,0.0851700088009009,211342.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.550266670136556,0.6,1.3,0.1,2.1,0.45427317253551114,0.4085280470516982,0.010786219061994303,1.2904940664893871,0.1530294829707299,0.1599634809455764,1.4425604943645844,0.11829167889014015,0.010176701,9.0,9.0,32.0,17.0,4.0,90.0,16.0,36.0,19.0,492.1,198.9,0.075151,20.1
1767,Caldwell,North Carolina,0.8167843079886382,0.012190810566994599,82029.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.55026667032391,0.6,1.3,0.1,2.1,0.45427317253654187,0.40852804703214723,0.01078621906886589,1.2904940667324971,0.15302948298772387,0.1599634809640493,1.4425604944592765,0.1462897268039352,0.003949923,56.0,47.0,65.0,46.0,48.0,29.0,17.0,39.0,16.0,176.1,79.9,0.075151,20.1
1768,Camden,North Carolina,0.18674136321195145,0.0,10710.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.550266670401494,0.6,1.3,0.1,2.1,0.4542731725490196,0.4085280470588235,0.010786219047619047,1.2904940662931839,0.15302948300653596,0.15996348095238094,1.4425604939309056,0.0,0.0005157159999999999,8.0,3.0,12.0,61.0,14.0,52.0,16.0,32.0,19.0,41.5,17.1,0.075151,20.1
1769,Carteret,North Carolina,0.48903975605546285,0.043150566710776134,69524.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.5502666705022725,0.6,1.3,0.1,2.1,0.4542731725734998,0.40852804700535067,0.01078621906104367,1.290494066653242,0.1530294829123756,0.15996348095621657,1.4425604942178238,0.11506817789540302,0.003347773,47.0,13.0,13.0,14.0,24.0,15.0,16.0,32.0,16.0,131.3,95.2,0.075151,20.1
1770,Caswell,North Carolina,1.7622698035069169,0.044056745087672926,22698.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.5502666701912062,0.6,1.3,0.1,2.1,0.45427317252621374,0.4085280470526038,0.010786219050136575,1.2904940664375717,0.1530294829940964,0.15996348092342938,1.4425604943166799,0.0,0.001092971,79.0,68.0,49.0,75.0,69.0,92.0,18.0,29.0,15.0,55.8,25.0,0.075151,20.1
1771,Catawba,North Carolina,0.5357638101000933,0.012606207296472783,158652.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.550266669818219,0.6,1.3,0.1,2.1,0.4542731725411593,0.40852804704636564,0.010786219064367294,1.2904940668885359,0.15302948295640775,0.1599634809520208,1.442560494037264,0.3277613897082924,0.007639531999999999,41.0,21.0,30.0,15.0,18.0,45.0,16.0,31.0,17.0,387.1,170.3,0.075151,20.1
1772,Chatham,North Carolina,6.398774935396983,0.15039855617386072,73139.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.550266670312692,0.6,1.3,0.1,2.1,0.45427317258917943,0.4085280470063851,0.010786219062333364,1.290494066640233,0.15302948303914463,0.15996348090621965,1.4425604944010721,0.05469038406322208,0.003521845,7.0,14.0,2.0,10.0,17.0,73.0,14.0,24.0,16.0,93.1,42.1,0.075151,20.1
1773,Cherokee,North Carolina,0.6341824331466018,0.03523235739703343,28383.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.550266669837579,0.6,1.3,0.1,2.1,0.45427317267378364,0.40852804707042945,0.010786219074798296,1.2904940665186908,0.15302948296515523,0.15996348095691082,1.4425604943099744,0.0,0.00136672,87.0,60.0,27.0,74.0,53.0,14.0,17.0,27.0,14.0,60.3,38.5,0.075151,20.1
1774,Chowan,North Carolina,0.8553710171787012,0.0,14029.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.5502666697555063,0.6,1.3,0.1,2.1,0.45427317257110267,0.408528047045406,0.010786219046261316,1.2904940665763776,0.153029482999501,0.1599634809323544,1.4425604939767624,0.28512367239290043,0.000675535,72.0,83.0,78.0,12.0,79.0,75.0,18.0,39.0,13.0,85.8,42.3,0.075151,20.1
1775,Clay,North Carolina,0.4488733279468534,0.0,11139.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.550266670257653,0.6,1.3,0.1,2.1,0.45427317254690724,0.40852804704192486,0.010786219050184039,1.2904940667923512,0.15302948298770086,0.1599634809228836,1.4425604946584074,0.0,0.000536374,84.0,40.0,17.0,53.0,51.0,35.0,16.0,31.0,14.0,49.3,33.2,0.075151,20.1
1776,Cleveland,North Carolina,0.5223001689794664,0.02048235956782221,97645.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.5502666700803935,0.6,1.3,0.1,2.1,0.45427317251267346,0.40852804710942703,0.010786219069076756,1.290494066260433,0.1530294830252445,0.15996348097700855,1.4425604946489836,0.5837472476829331,0.004701877,86.0,75.0,75.0,42.0,58.0,93.0,18.0,38.0,16.0,211.3,93.4,0.075151,20.1
1777,Columbus,North Carolina,3.881052915281646,0.3054532387027221,55655.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.5502666696613066,0.6,1.3,0.1,2.1,0.4542731725810798,0.4085280470757344,0.010786219063875663,1.2904940666606775,0.1530294829754739,0.15996348094510826,1.4425604942952115,0.1796783757074836,0.0026799420000000003,95.0,88.0,88.0,88.0,87.0,89.0,19.0,46.0,14.0,62.0,27.8,0.075151,20.1
1778,Craven,North Carolina,0.5344371890547264,0.038868159203980096,102912.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.550266669581778,0.6,1.3,0.1,2.1,0.4542731725163246,0.4085280470693408,0.010786219060945273,1.2904940667754976,0.1530294829563122,0.1599634809351679,1.442560494402985,0.6996268656716418,0.0049554970000000005,71.0,24.0,36.0,4.0,43.0,20.0,16.0,31.0,18.0,146.0,63.5,0.075151,20.1
1779,Cumberland,North Carolina,1.1976047904191616,0.030090572623597028,332330.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.550266669876328,0.6,1.3,0.1,2.1,0.45427317244907167,0.40852804712183677,0.010786219065386814,1.29049406674089,0.1530294829837812,0.15996348093762225,1.4425604943881083,0.14443474859326572,0.016002608,63.0,76.0,77.0,43.0,71.0,76.0,18.0,34.0,16.0,489.7,207.8,0.075151,20.1
1780,Currituck,North Carolina,0.3324468085106383,0.0,27072.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.5502666699911347,0.6,1.3,0.1,2.1,0.45427317265070927,0.4085280470596927,0.01078621908244681,1.2904940665632387,0.1530294829713357,0.1599634809397163,1.4425604942375887,0.0,0.001303592,12.0,5.0,10.0,76.0,8.0,34.0,15.0,29.0,18.0,89.9,55.2,0.075151,20.1
1781,Dare,North Carolina,0.46574066463932495,0.027396509684666174,36501.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.550266669954248,0.6,1.3,0.1,2.1,0.4542731725158215,0.4085280471767897,0.010786219062491439,1.2904940667378975,0.1530294829730692,0.15996348094572752,1.442560494233035,0.0,0.001757624,13.0,2.0,7.0,22.0,16.0,5.0,16.0,23.0,18.0,88.5,87.4,0.075151,20.1
1782,Davidson,North Carolina,1.3924400110434898,0.06001896599325387,166614.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.5502666702678045,0.6,1.3,0.1,2.1,0.4542731725425234,0.4085280470428656,0.01078621906322398,1.2904940665250217,0.15302948299662694,0.1599634809199707,1.442560494316204,0.17405500138043623,0.008022925,55.0,45.0,47.0,48.0,33.0,94.0,18.0,32.0,16.0,294.7,131.5,0.075151,20.1
1783,Davie,North Carolina,0.865841387218309,0.04680223714693563,42733.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.550266669786816,0.6,1.3,0.1,2.1,0.45427317248964494,0.4085280469426439,0.010786219057870965,1.2904940666463858,0.15302948297568625,0.15996348093978893,1.4425604942316244,0.0,0.002057712,30.0,16.0,29.0,21.0,15.0,24.0,15.0,41.0,16.0,156.1,69.1,0.075151,20.1
1784,Duplin,North Carolina,4.655430202528205,0.06796248470844093,58856.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.5502666694984364,0.6,1.3,0.1,2.1,0.4542731724887862,0.4085280470980019,0.010786219060078836,1.2904940665352727,0.15302948297539756,0.15996348093652302,1.4425604942571701,0.15291559059399212,0.002834079,16.0,84.0,90.0,96.0,81.0,47.0,21.0,40.0,14.0,71.7,31.5,0.075151,20.1
1785,Durham,North Carolina,2.9424857690401245,0.11681542216146418,316739.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.5502666700343184,0.6,1.3,0.1,2.1,0.4542731725490073,0.4085280470671435,0.010786219063645462,1.2904940667237064,0.15302948298125585,0.15996348094172172,1.4425604942870942,0.4672616886458567,0.015251858,6.0,20.0,15.0,7.0,42.0,38.0,15.0,25.0,17.0,935.7,420.4,0.075151,20.1
1786,Edgecombe,North Carolina,3.0189404864916836,0.1346024420728776,52005.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.5502666705124506,0.6,1.3,0.1,2.1,0.4542731725795597,0.4085280471108548,0.010786219055860014,1.2904940665320643,0.1530294829727911,0.15996348093452553,1.4425604943755406,0.2884338044418806,0.002504184,97.0,98.0,97.0,62.0,99.0,97.0,21.0,38.0,12.0,111.9,49.2,0.075151,20.1
1787,Forsyth,North Carolina,1.1843871917361957,0.013189166945837367,379099.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.5502666699199943,0.6,1.3,0.1,2.1,0.45427317244308213,0.40852804702729356,0.010786219064149472,1.2904940667213576,0.15302948298465574,0.15996348093769702,1.4425604942244636,0.6831988477943756,0.018254665,27.0,55.0,62.0,11.0,55.0,28.0,18.0,33.0,16.0,859.2,384.4,0.075151,20.1
1788,Franklin,North Carolina,1.7613972764949675,0.2960331557134399,67560.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.5502666696269976,0.6,1.3,0.1,2.1,0.4542731725873298,0.40852804706927176,0.010786219064535228,1.29049406660746,0.15302948297809355,0.15996348090586146,1.4425604943753698,0.0,0.003253201,40.0,58.0,63.0,77.0,38.0,63.0,18.0,36.0,16.0,123.3,54.1,0.075151,20.1
1789,Gaston,North Carolina,0.8122200981843964,0.02243701928686178,222846.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.550266669807849,0.6,1.3,0.1,2.1,0.45427317250477905,0.4085280470369672,0.01078621906608151,1.2904940667546199,0.15302948296132754,0.15996348092404622,1.4425604942426609,0.3320678854455543,0.010730651,60.0,53.0,44.0,40.0,45.0,100.0,17.0,29.0,16.0,578.8,249.1,0.075151,20.1
1790,Gates,North Carolina,0.9504882053054523,0.0,11573.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.5502666698349605,0.6,1.3,0.1,2.1,0.4542731725568133,0.4085280470923701,0.010786219044327314,1.2904940663613582,0.15302948293441632,0.1599634809470319,1.4425604942538663,0.0,0.0005572719999999999,93.0,49.0,51.0,59.0,36.0,49.0,16.0,45.0,16.0,35.8,15.3,0.075151,20.1
1791,Graham,North Carolina,0.23573785950023574,0.0,8484.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.550266670202735,0.6,1.3,0.1,2.1,0.4542731725601132,0.40852804702970297,0.010786219118340407,1.2904940664780762,0.1530294830268741,0.15996348090523338,1.4425604938708154,0.0,0.000408528,44.0,62.0,52.0,95.0,80.0,1.0,18.0,43.0,15.0,30.3,20.3,0.075151,20.1
1792,Granville,North Carolina,2.8445479497629544,0.09980869999168261,60115.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.5502666705481163,0.6,1.3,0.1,2.1,0.45427317258587707,0.4085280470764368,0.010786219063461697,1.2904940665391333,0.15302948297429925,0.15996348094485568,1.4425604943857606,0.09980869999168261,0.0028947029999999998,23.0,32.0,61.0,35.0,41.0,98.0,17.0,37.0,16.0,112.7,42.9,0.075151,20.1
1793,Greene,North Carolina,1.76089853417095,0.04759185227489054,21012.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.5502666699980963,0.6,1.3,0.1,2.1,0.4542731725680563,0.40852804706834184,0.01078621906529602,1.290494066723777,0.15302948296211688,0.15996348096325907,1.442560494479345,0.0,0.001011786,37.0,81.0,68.0,98.0,66.0,67.0,20.0,28.0,15.0,80.3,30.9,0.075151,20.1
1794,Guilford,North Carolina,1.2554574924578858,0.08244795472857759,533670.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.550266670414301,0.6,1.3,0.1,2.1,0.4542731725598217,0.40852804710776325,0.010786219064215712,1.2904940665579852,0.15302948297637115,0.15996348095264865,1.442560494312965,0.2660820357149549,0.025697685,26.0,31.0,41.0,19.0,44.0,85.0,16.0,33.0,17.0,756.4,337.6,0.075151,20.1
1795,Halifax,North Carolina,1.8982085656661525,0.019773005892355755,50574.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.5502666706212676,0.6,1.3,0.1,2.1,0.4542731725787954,0.408528047020208,0.01078621906513228,1.2904940667141218,0.15302948297544194,0.15996348093882232,1.4425604943251475,0.3163680942776921,0.002435278,90.0,96.0,98.0,72.0,98.0,96.0,20.0,44.0,13.0,75.5,35.6,0.075151,20.1
1796,Harnett,North Carolina,1.6987795609995977,0.11176181322365775,134214.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.550266669646982,0.6,1.3,0.1,2.1,0.454273172545338,0.40852804707407575,0.010786219060604707,1.2904940669378753,0.15302948298985203,0.15996348093343465,1.4425604944342616,0.1043110256754139,0.006462775,36.0,41.0,71.0,90.0,50.0,79.0,19.0,33.0,17.0,192.7,78.5,0.075151,20.1
1797,Haywood,North Carolina,0.3065950202514079,0.0,61971.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.550266669893983,0.6,1.3,0.1,2.1,0.4542731726129964,0.40852804698972106,0.01078621907021026,1.2904940665795293,0.1530294829678398,0.15996348095076726,1.4425604942634458,0.19363896015878396,0.002984075,57.0,52.0,38.0,30.0,28.0,22.0,18.0,32.0,16.0,106.6,63.1,0.075151,20.1
1798,Henderson,North Carolina,2.141364306026656,0.2569637167231987,116748.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.55026667009285,0.6,1.3,0.1,2.1,0.45427317255970123,0.4085280470757529,0.010786219061568507,1.2904940667077809,0.15302948298900196,0.15996348091616128,1.4425604943981907,0.23126734505087881,0.005621739000000001,11.0,8.0,5.0,23.0,5.0,13.0,14.0,28.0,15.0,286.1,146.6,0.075151,20.1
1799,Hertford,North Carolina,2.071093452808656,0.04226721332262564,23659.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.5502666701889343,0.6,1.3,0.1,2.1,0.454273172577032,0.40852804704340845,0.01078621907096665,1.2904940665285938,0.15302948298744665,0.1599634809586204,1.4425604945263961,0.4226721332262564,0.001139246,59.0,87.0,96.0,32.0,84.0,48.0,19.0,47.0,13.0,69.9,30.1,0.075151,20.1
1800,Hoke,North Carolina,2.33730187714557,0.0,54764.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.5502666697100285,0.6,1.3,0.1,2.1,0.45427317252209487,0.40852804707472057,0.01078621906727047,1.2904940665400626,0.15302948298152072,0.15996348093638157,1.4425604943028267,0.0,0.002637038,39.0,80.0,92.0,92.0,65.0,68.0,20.0,37.0,17.0,120.2,46.6,0.075151,20.1
1801,Hyde,North Carolina,0.19120458891013384,0.0,5230.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.550266669216061,0.6,1.3,0.1,2.1,0.4542731724665392,0.4085280470363289,0.010786219120458889,1.2904940665391968,0.15302948298279156,0.15996348087954113,1.4425604942638623,0.0,0.000251839,14.0,10.0,72.0,54.0,90.0,8.0,17.0,36.0,16.0,9.5,5.5,0.075151,20.1
1802,Iredell,North Carolina,0.9078936307338806,0.028021408355983973,178435.0,20767240.0,255.0,223.5,86.2,78.1,7.1,6.2,35.6,15.7,28.6,28.2,11.4,47.4,57.1,35.6,11.9,10.5,1.3,27.2,38.2,2.5502666702160455,0.6,1.3,0.1,2.1,0.45427317252781124,0.40852804707596607,0.010786219065766246,1.2904940667469946,0.153029482948973,0.15996348093143162,1.4425604942976433,0.2017541401630846,0.008592138000000001,22.0,25.0,22.0,20.0,10.0,59.0,15.0,32.0,18.0,277.8,120.3,0.075151,20.1
